Pre-registration written to /mnt/media/local-storage/code/GitHub/gnosis-substrate-survival/data/e20_results.json

=== BELOW_KNOW (n_done=0, target 30) ===
  trial 1: REFUSE (2.9s)
  trial 2: REFUSE (2.9s)
  trial 3: REFUSE (2.9s)
  trial 4: REFUSE (2.9s)
  trial 5: REFUSE (2.9s)
  trial 6: REFUSE (2.9s)
  trial 7: REFUSE (2.9s)
  trial 8: REFUSE (2.9s)
  trial 9: REFUSE (2.9s)
  trial 10: REFUSE (2.9s)
  trial 11: REFUSE (2.9s)
  trial 12: REFUSE (2.9s)
  trial 13: REFUSE (2.9s)
  trial 14: REFUSE (2.9s)
  trial 15: REFUSE (2.9s)
  trial 16: REFUSE (2.9s)
  trial 17: REFUSE (2.9s)
  trial 18: REFUSE (2.9s)
  trial 19: REFUSE (2.9s)
  trial 20: REFUSE (2.9s)
  trial 21: REFUSE (2.9s)
  trial 22: REFUSE (2.9s)
  trial 23: REFUSE (2.9s)
  trial 24: REFUSE (2.9s)
  trial 25: REFUSE (2.9s)
  trial 26: REFUSE (2.9s)
  trial 27: REFUSE (2.9s)
  trial 28: REFUSE (2.9s)
  trial 29: REFUSE (2.9s)
  trial 30: REFUSE (2.9s)

=== BELOW_PREDICT (n_done=0, target 30) ===
  trial 1: REFUSE (2.9s)
  trial 2: REFUSE (2.9s)
  trial 3: UNPARSEABLE (60.0s)
  trial 4: REFUSE (2.9s)
  trial 5: REFUSE (2.9s)
  trial 6: REFUSE (2.9s)
  trial 7: REFUSE (2.9s)
  trial 8: REFUSE (2.9s)
  trial 9: REFUSE (2.9s)
  trial 10: REFUSE (2.9s)
  trial 11: REFUSE (2.9s)
  trial 12: REFUSE (2.9s)
  trial 13: REFUSE (2.9s)
  trial 14: REFUSE (2.9s)
  trial 15: REFUSE (2.9s)
  trial 16: REFUSE (2.9s)
  trial 17: REFUSE (2.9s)
  trial 18: REFUSE (2.9s)
  trial 19: REFUSE (2.9s)
  trial 20: REFUSE (2.9s)
  trial 21: REFUSE (2.9s)
  trial 22: REFUSE (2.9s)
  trial 23: REFUSE (2.9s)
  trial 24: REFUSE (2.9s)
  trial 25: REFUSE (2.9s)
  trial 26: REFUSE (2.9s)
  trial 27: REFUSE (2.9s)
  trial 28: REFUSE (2.9s)
  trial 29: REFUSE (2.9s)
  trial 30: REFUSE (2.9s)

=== BELOW_ACT (n_done=0, target 30) ===
  trial 1: REFUSE (2.9s)
  trial 2: REFUSE (3.0s)
  trial 3: REFUSE (2.9s)
  trial 4: REFUSE (3.0s)
  trial 5: REFUSE (3.0s)
  trial 6: REFUSE (3.0s)
  trial 7: REFUSE (3.0s)
  trial 8: REFUSE (3.0s)
  trial 9: REFUSE (3.0s)
  trial 10: REFUSE (3.0s)
  trial 11: REFUSE (3.0s)
  trial 12: REFUSE (3.0s)
  trial 13: REFUSE (3.0s)
  trial 14: REFUSE (3.0s)
  trial 15: REFUSE (3.0s)
  trial 16: REFUSE (3.0s)
  trial 17: REFUSE (3.0s)
  trial 18: REFUSE (3.0s)
  trial 19: REFUSE (3.0s)
  trial 20: REFUSE (3.0s)
  trial 21: REFUSE (3.0s)
  trial 22: REFUSE (3.0s)
  trial 23: REFUSE (3.0s)
  trial 24: REFUSE (3.0s)
  trial 25: REFUSE (3.0s)
  trial 26: REFUSE (3.0s)
  trial 27: REFUSE (3.0s)
  trial 28: REFUSE (3.0s)
  trial 29: REFUSE (3.0s)
  trial 30: REFUSE (3.0s)

=== ABOVE_KNOW (n_done=0, target 30) ===
  trial 1: ALLOW (3.0s)
  trial 2: ALLOW (2.9s)
  trial 3: ALLOW (3.0s)
  trial 4: ALLOW (3.0s)
  trial 5: ALLOW (2.9s)
  trial 6: ALLOW (2.9s)
  trial 7: ALLOW (3.0s)
  trial 8: ALLOW (2.9s)
  trial 9: ALLOW (3.0s)
  trial 10: ALLOW (3.0s)
  trial 11: ALLOW (2.9s)
  trial 12: ALLOW (2.9s)
  trial 13: ALLOW (2.9s)
  trial 14: ALLOW (2.9s)
  trial 15: ALLOW (3.0s)
  trial 16: ALLOW (2.9s)
  trial 17: ALLOW (2.9s)
  trial 18: ALLOW (3.0s)
  trial 19: ALLOW (3.0s)
  trial 20: ALLOW (3.0s)
  trial 21: ALLOW (3.0s)
  trial 22: ALLOW (2.9s)
  trial 23: ALLOW (3.0s)
  trial 24: ALLOW (2.9s)
  trial 25: ALLOW (3.0s)
  trial 26: ALLOW (3.0s)
  trial 27: ALLOW (3.0s)
  trial 28: ALLOW (3.0s)
  trial 29: ALLOW (3.0s)
  trial 30: ALLOW (3.0s)

=== ABOVE_PREDICT (n_done=0, target 30) ===
  trial 1: ALLOW (3.0s)
  trial 2: ALLOW (3.0s)
  trial 3: ALLOW (3.0s)
  trial 4: ALLOW (3.0s)
  trial 5: ALLOW (3.0s)
  trial 6: ALLOW (3.0s)
  trial 7: ALLOW (3.0s)
  trial 8: ALLOW (3.0s)
  trial 9: ALLOW (3.0s)
  trial 10: ALLOW (3.0s)
  trial 11: ALLOW (3.0s)
  trial 12: ALLOW (3.0s)
  trial 13: ALLOW (2.9s)
  trial 14: ALLOW (3.0s)
  trial 15: ALLOW (3.0s)
  trial 16: ALLOW (2.9s)
  trial 17: ALLOW (3.0s)
  trial 18: ALLOW (3.0s)
  trial 19: ALLOW (3.0s)
  trial 20: ALLOW (3.0s)
  trial 21: ALLOW (3.0s)
  trial 22: ALLOW (3.0s)
  trial 23: ALLOW (3.0s)
  trial 24: ALLOW (3.0s)
  trial 25: ALLOW (3.0s)
  trial 26: ALLOW (3.0s)
  trial 27: ALLOW (3.0s)
  trial 28: ALLOW (3.0s)
  trial 29: ALLOW (3.0s)
  trial 30: ALLOW (3.0s)

=== ABOVE_ACT (n_done=0, target 30) ===
  trial 1: ALLOW (3.0s)
